mode,entry_time,exit_time,entry_price,exit_price,leverage,net_pnl,return_on_margin_pct,exit_reason,hold_bars,balance_after_trade
SWING,2022-11-10 00:00:00,2022-11-11 00:00:00,15873.27402,17612.4768,3.0,672304.973762492,32.703962763190546,TIMEOUT,288,2728034.3623710023
SWING,2022-12-26 08:00:00,2022-12-27 08:00:00,16836.966719999997,16851.52902,3.0,2978.369371591714,0.10934039828057084,TIMEOUT,288,2726920.6801990373
SNIPER,2023-01-02 14:35:00,2023-01-02 18:35:00,16679.53524,16703.35866,4.0,10097.602497110776,0.371035294386311,TIMEOUT,48,2731564.44133575
SWING,2023-02-11 08:00:00,2023-02-12 08:00:00,21685.336199999998,21791.040920000003,3.0,35773.80165557057,1.3116125846368736,TIMEOUT,288,2763240.896329317
SNIPER,2023-02-12 22:05:00,2023-02-13 02:05:00,21699.238980000002,21689.561220000003,4.0,-10432.680356259623,-0.37830894675917653,TIMEOUT,48,2747281.7341803988
SWING,2023-02-13 08:00:00,2023-02-14 08:00:00,21812.76168,21737.151700000002,3.0,-32626.485668778918,-1.189375611194925,TIMEOUT,288,2710534.3259103494
SNIPER,2023-02-15 12:05:00,2023-02-15 16:05:00,22548.908880000003,22831.432800000002,4.0,130095.58903497652,4.8092474015975455,TIMEOUT,48,2835208.8462935053
SNIPER,2023-02-23 12:05:00,2023-02-23 16:05:00,23734.746,23894.92006,4.0,70683.35355364226,2.498052432834144,TIMEOUT,48,2900221.7821545606
SWING,2023-02-25 08:00:00,2023-02-26 08:00:00,23103.219719999997,23128.8733,3.0,5298.0080442554545,0.18295038770468786,TIMEOUT,288,2901169.457525584
SNIPER,2023-02-27 15:45:00,2023-02-27 19:45:00,23584.716,23279.743120000003,4.0,-155475.29174396207,-5.369795448204634,TIMEOUT,48,2739891.826866571
SNIPER,2023-02-28 14:50:00,2023-02-28 18:50:00,23460.291119999998,23455.308,4.0,-7790.890819431597,-0.28492014723127007,TIMEOUT,48,2726621.152393406
SNIPER,2023-03-03 13:45:00,2023-03-03 17:45:00,22330.565219999997,22405.81794,4.0,31220.0409985121,1.147302997465356,TIMEOUT,48,2752387.9510871307
SWING,2023-03-10 00:00:00,2023-03-11 00:00:00,20323.76394,20179.06338,3.0,-62793.976695872574,-2.2848635540194304,TIMEOUT,288,2685465.3924646275
SNIPER,2023-05-01 14:00:00,2023-05-01 18:00:00,28441.287119999997,28251.74852,4.0,-76767.2752927257,-2.86434961119293,TIMEOUT,48,2603327.1863869727
SWING,2023-06-06 00:00:00,2023-06-07 00:00:00,25728.94476,27178.96312,3.0,435371.7352800256,16.74878886606932,TIMEOUT,288,3034793.930887418
SNIPER,2023-07-10 00:15:00,2023-07-10 04:15:00,30031.605119999997,30122.27434,4.0,30500.67288534333,1.007046843189225,TIMEOUT,48,3059225.0159109863
SWING,2023-07-15 00:00:00,2023-07-16 00:00:00,30282.0552,30276.4435,3.0,-6279.309108079753,-0.2055665140257487,TIMEOUT,288,3048356.86927904
SWING,2023-08-18 08:00:00,2023-08-19 08:00:00,26459.59086,25896.919579999998,3.0,-198649.59616004184,-6.526401819691655,TIMEOUT,288,2845134.7378150797
SWING,2023-08-19 08:00:00,2023-08-20 08:00:00,25907.28042,26056.487660000003,3.0,44798.18972545215,1.5769196221561959,TIMEOUT,288,2885665.225433809
SWING,2023-08-29 16:00:00,2023-08-30 16:00:00,27361.4712,27180.86274,3.0,-61351.130654415145,-2.129259314499136,TIMEOUT,288,2819985.5969412434
SWING,2023-10-19 16:00:00,2023-10-20 16:00:00,28725.744,29503.89804,3.0,224490.65829799653,7.972661292741464,TIMEOUT,288,3040246.276843828
SWING,2023-11-23 00:00:00,2023-11-24 00:00:00,37458.39018,37311.13628,3.0,-40336.680133986694,-1.3287501198750393,TIMEOUT,288,2995349.2272945754
